"dates","title"
2021-11-29,"Alle Neuner"
2021-11-24,"Muss man immer gewinnen?"
2021-11-22,"Fälschungsverdacht gegen Markus Anfang erhärtet sich"
2021-11-22,"Der deutsche Fußball und die Pandemie"
2021-11-21,"Mainz und Köln spielen Remis"
2021-11-19,"Das Berliner Derby ist nur was für Ambiguitätstolerante"
2021-11-15,"Nach Krawallen bei Dynamo Dresden fast 240 Gewalttäter identifiziert"
2021-11-12,"Der letzte Espresso in Wolfsburg"
2021-11-09,"Fünf Fußballnationalspieler in Quarantäne"
2021-11-08,"Das letzte Spitzenspiel für lange Zeit"
2021-11-07,"Eintracht Frankfurt gewinnt in letzter Minute gegen Fürth"
2021-11-05,"Freut euch leise!  "
2021-11-05,"Mehr als 75 Millionen Menschen können nicht richtig Badisch"
2021-11-05,"Der Motor: Wie Verkehrssenator Anjes Tjarks die Stadt umbauen will"
2021-11-04,"Bayer 04 Leverkusen gewinnt spielfreudig gegen Real Betis Sevilla"
2021-11-02,"FC Bayern München qualifiziert sich fürs Achtelfinale"
2021-11-01,"Das Ende des Bayernfluchs"
2021-10-31,"Gladbach siegt auch gegen Bochum"
2021-10-29,"Union weiß, was Bayern am letzten Mittwoch getan hat"
2021-11-19,"Kaiserslautern, bleib bitte provinziell!"
2021-10-28,"Es lebe die Fußballanarchie!"
2021-10-27,"Fußballer Lucas Hernández muss nicht ins Gefängnis"
2021-10-26,"Florian Kohfeldt wird neuer Trainer beim VfL Wolfsburg"
2021-10-25,"Fußballprofis sind es gewohnt, dass für sie andere Regeln gelten"
2021-10-24,"VfL Bochum gewinnt gegen Eintracht Frankfurt"
2021-10-24,"Joshua Kimmich nach Aussage zu Impfverzicht in der Kritik"
2021-10-22,"Den ersten Titel hat Steffen Baumgart schon"
2021-10-22,"Präsenzlehre? Von wegen! Der Frust der Studis zum Semesterstart"
2021-10-21,"Eintracht Frankfurt nach Sieg an der Gruppenspitze"
2021-10-21,"Alle verlieren bis auf einen"
2021-10-20,"Das Kreuz mit den Fußballabos"
