"dates","title","ressort"
2022-03-20,"Pfosten, Latte und Trapp verhindern Leipziger Tore – und den Sieg","Sport"
2022-03-19,"Magath-Effekt funktioniert sogar ohne Magath","Sport"
2022-03-14,"Die Zeit läuft davon","Sport"
2022-03-13,"Die Gewinner des Spieltags heißen Schalke und Nürnberg","Sport"
2022-03-12,"Bremen verliert erstmals unter Trainer Werner","Sport"
2022-03-12,"Die Bayern stolpern auch bei Hoffenheim","Sport"
2022-03-10,"Erst Klub-Doku gestoppt, dann »Grenze überschritten«","Sport"
2022-03-08,"Ein schwer deprimierter Klub","Sport"
2022-03-08,"Premier League löst TV-Vertrag mit Russland auf","Sport"
2022-03-06,"Werders Sturm ist schon bundesligareif","Sport"
2022-03-05,"Frankfurt deklassiert Hertha BSC, Bochum schlägt Fürth im Aufsteigerduell","Sport"
2022-03-05,"Müller trifft ins eigene Tor – Bayern nur Remis gegen Leverkusen","Sport"
2022-03-05,"Drei Tore von Terodde – Schalke verliert trotzdem gegen Hansa Rostock","Sport"
2022-03-01,"Vivawest soll offenbar Gazprom beim FC Schalke ablösen","Sport"
2022-02-28,"Steigen die denn nie auf?","Sport"
2022-02-27,"Werder gewinnt spektakuläres Nordderby beim HSV dank zweier Handelfmeter","Sport"
2022-02-26,"Für Hertha wird es immer düsterer, Gladbach rettet das Remis","Sport"
2022-02-26,"Wie Christian Streich den Provinzklub zu einer Topmannschaft formte","Sport"
2022-02-21,"Die Vereinslegende hat noch eine Chance","Sport"
2022-02-20,"Ein Platzverweis, sechs Gegentore – Hertha geht gegen Leipzig unter","Sport"
2022-02-20,"Elfmeter vergeben, Spiel verloren, auf Platz vier abgerutscht","Sport"
2022-02-19,"Im Sommer wollte er zu Guardiola, nun hat er ihn geschlagen","Sport"
2022-02-19,"Ausgleich in der Nachspielzeit – Stuttgart verpasst ersten Erfolg im Jahr 2022","Sport"
2022-02-13,"Reus führt Dortmund mit zwei Treffern zum Sieg bei Union Berlin","Sport"
2022-02-12,"FC St. Pauli beendet in Regensburg Negativserie","Sport"
2022-02-12,"4:2 – Bochum nimmt die Bayern auseinander","Sport"
2022-02-12,"HSV jubelt dank Kittel – und springt vorerst auf Platz zwei","Sport"
2022-02-11,"Erst zanken sie um einen Freistoß, dann wird gejubelt","Sport"
2022-02-11,"Werder gewinnt schon wieder und springt vorerst an die Tabellenspitze","Sport"
2022-02-07,"Berlin und Brandenburg wollen 2G-Regel im Einzelhandel aufheben","Wissenschaft"
2022-02-02,"Ein unwahrscheinlicher Held","Sport"
2022-02-01,"Aubameyang und der riskanteste Weg aus dem Chaos","Sport"
2022-01-30,"Verprügelt und verehrt","Sport"
2022-01-22,"BVB sorgt sich um Haaland, Union springt auf Champions-League-Platz","Sport"
2022-01-22,"Werder gewinnt Sieben-Tore-Spektakel in Paderborn – Darmstadt ist neuer Tabellenführer","Sport"
2022-01-21,"Die Mär von den schlechten afrikanischen Torhütern","Sport"
2022-01-16,"Dank Götzes erstem Saisontor – Eindhoven bleibt Tabellenführer","Sport"
2022-01-16,"Schalke verpasst den Sprung auf Platz drei","Sport"
2022-01-15,"Lewandowski schießt Köln ab – Kohfeldt bleibt mit Wolfsburg in der Krise","Sport"
2022-01-15,"Traumtor von De Bruyne entscheidet das Spitzenspiel in England","Sport"
2022-01-08,"Plötzlich war die Luft raus","Sport"
2022-01-03,"Dieser Reflex rettet Barcelonas Rumpfteam in der Nachspielzeit","Sport"
2022-01-03,"Antonio Brown stürmt halb nackt vom Feld – und fliegt aus dem Team","Sport"
2021-12-26,"Manchester City und Leicester liefern sich Spektakel am Boxing Day","Sport"
2021-12-26,"Durch ihn wurde Bayer Leverkusen, was es ist","Sport"
2021-12-26,"Steven Gerrard fehlt Aston Villa wegen Coronainfektion","Sport"
2021-12-26,"Er brach sich den Schädel, rang um sein Leben – jetzt trifft er in der Premier League","Sport"
2021-12-21,"Englands Profifußball will gegen ungeimpfte Spieler vorgehen","Sport"
2021-12-20,"FC Bayern trifft auf PSG, Wolfsburg auf Arsenal","Sport"
2021-12-20,"Nach Corona-Ausbruch – Spurs verlieren am grünen Tisch und sind raus","Sport"
2021-12-20,"RKI verschärft Risikobewertung für doppelt Geimpfte und Genesene wegen Omikron","Wissenschaft"
2021-12-19,"Chelsea quält sich zum 0:0  – hitziges Remis zwischen Liverpool und Tottenham","Sport"
2021-12-19,"In der Hinrunde traf er noch gegen Werder, jetzt schießt er Bremen zum Sieg","Sport"
2021-12-17,"Kiel schießt Tabellenführer St. Pauli in der ersten Hälfte ab","Sport"
2021-12-15,"Wohin das Fürth","Sport"
2021-12-14,"Hertha geht in Mainz unter, Wolfsburg verliert sechstes Spiel in Folge","Sport"
2021-12-14,"Gnabry-Hattrick in Stuttgart – Bayern München ist Herbstmeister","Sport"
2021-12-12,"5:2 nach 0:2 – Frankfurt bestraft Leverkusens Defensivschwächen","Sport"
2021-12-11,"Abschied von Bambi","Sport"
2021-12-11,"Wenn Haaland und Lewandowski nicht treffen, wird's schwer","Sport"
2021-12-09,"Kruses Treffer reicht nicht – Union Berlin ist raus","Sport"
2021-12-09,"Frankfurt wird Gruppensieger und darf die Zwischenrunde überspringen","Sport"
2021-12-09,"Der FC Bayern steht im Viertelfinale, Hoffenheim vor dem Aus","Sport"
2021-12-08,"VfL Wolfsburg scheidet als Gruppenletzter aus","Sport"
2021-12-08,"Zwei Werner-Tore reichen nicht – Chelsea verspielt Gruppensieg","Sport"
2021-12-08,"Sie spielen, sie spielen nicht …","Sport"
2021-12-07,"Dortmund verabschiedet sich mit Kantersieg aus der Champions League","Sport"
2021-12-07,"Leipzig überrascht gegen Man City und darf in die Europa League","Sport"
2021-12-06,"»Warum wehren wir uns denn nicht?«","Sport"
2021-12-05,"0:6 nach 37 Minuten – Gladbach geht gegen Freiburg unter","Sport"
2021-12-04,"Liverpool rennt 93 Minuten erfolglos an – und schießt sich doch an Chelsea vorbei","Sport"
2021-12-04,"7:1 – Leverkusen vermöbelt Fürth, Wolfsburg verliert erneut","Sport"
2021-11-30,"FC Bayern spielt künftig wieder vor leeren Rängen","Sport"
2021-11-29,"Revolutionär mit Anschlussverwendung","Sport"
2021-11-28,"Es ist sehr viel kaputtgegangen","Sport"
