"dates[-1]","title[-1][1:length(dates[-1])]"
2022-01-12,"Ausgeliefert: Zehntausende Kündigungen für Strom- und Gasverträge"
2022-01-11,"Mehrheit der Autofahrer würde auf Fahrrad oder ÖPNV umsteigen"
2022-01-10,"""Aktuell schaden geteilte E-​Scooter unterm Strich dem Klima"""
2022-01-09,"Die Kernstadt ist nicht die Zukunft"
2022-01-07,"Ins Restaurant nur noch mit Test oder Booster"
2022-01-07,"Bund und Länder beschließen bundesweit 2G plus für Gastronomie"
2021-12-26,"""Ich verdiene mit einer 70-Prozent-Stelle etwa 6.900 Euro"""
2021-12-24,"""Manchmal denkst du innerlich: Alter, das ist jetzt nicht dein Ernst"""
2021-12-21,"EU-Impfnachweise ohne Booster nur noch neun Monate für Reisen gültig"
2021-12-15,"Kein Geld für die E-Autos von Städtern"
2021-12-06,"Wann kommt der Weihnachtsmann? Dieser Hamburger rechnet es aus "
2021-12-02,"Wo der Bus nur dreimal am Tag fährt"
2021-11-28,"Koalitionsvertrag in Berlin steht"
2021-11-24,"Wie 3G in Bus und Bahn kontrolliert werden soll"
2021-11-19,"""Bei niedriger Impfquote ist unklar, ob es reicht"""
2021-11-18,"So wollen Bund und Länder die vierte Welle brechen"
2021-11-18,"Bundestag beschließt Änderungen des Infektionsschutzgesetzes"
2021-11-17,"Ampel plant 3G im ÖPNV und am Arbeitsplatz"
2021-11-16,"Tschüss, Diesellok!"
2021-11-15,"Getrieben von der Pandemie"
2021-11-11,"Wer kommt da noch durch? "
2021-11-10,"So wird das nichts mit der Verkehrswende"
2021-11-09,"Von der Alb aus ist Berlin weit weg"
2021-11-03,"""30 Prozent weniger Autoverkehr!"" Warum das nötig ist"
2021-11-02,"ÖPNV wird bundesweit teils deutlich teurer"
2021-10-29,"""Autoverkehr muss um 30 Prozent abnehmen"" "
2021-09-22,"Verbrenner abschaffen wird nicht reichen "
2021-09-17,"""Diese Straße ist ja ein Platz!"" "
2021-09-19,"In Nordhorn haben Radfahrer Vorfahrt"
2021-09-17,"Freie Fahrt im Nahverkehr "
2021-09-15,"Auto bleibt für Pendler das Verkehrsmittel Nummer eins"
2021-09-12,"""Bei einer Kanzlei könnte ich bis zu 125.000 Euro im Jahr verdienen"""
2021-09-09,"Das wollen die Parteien für junge Menschen tun"
2021-09-08,"""Energiegemeinschaften könnten ihren Strom selbst erzeugen und nutzen"""
2021-09-01,"Keiner Zukunft zugewandt!"
2021-08-31,"Die Klimakatastrophe scheint hier viele nicht umzutreiben"
2021-08-31,"Jetzt aber mal langsam"
2021-08-28,"Unterm Rad"
2021-08-23,"Die Last des Privilegs "
2021-08-23,"""Von dem Geld könnte man besser Radwege ausbauen"""
2021-08-23,"Mit dem Auto geht’s fast immer schneller"
2021-08-19,"Verhandlungen mit den Taliban, ÖPNV in Laufnähe, Marietta Slomka"
2021-08-10,"So soll Deutschland durch den Pandemie-Herbst kommen"
2021-08-04,"""Ich habe schon viel ausgeteilt"""
2021-08-04,"Ein großes Verordnen und Verhindern"
2021-08-03,"Müßiggang im Impfzentrum"
2021-07-31,"Was ist ein Parkplatz wert?"
2021-07-29,"Scholz und Altmaier versprechen Entlastung beim Strompreis"
2021-07-23,"Zu teuer, zu spät? Ihre 33 Fragen zum ÖPNV "
2021-07-22,"33 Fragen zu Bus, Bahn und Fähre in Hamburg "
2021-07-20,"""Es sollen nur noch unverzichtbare Autofahrten möglich sein"""
2021-07-15,"Söderdämmerung"
2021-07-12,"""Städte gehören den Menschen, nicht tonnenschweren Blechbüchsen"""
2021-07-10,"""SUVs für niemanden"""
2021-07-08,"1.100 Euro im Jahr fürs Leben ohne Auto"
2021-07-07,"Hilfe für Städte und Gemeinden beim Umgang mit dem Klimawandel"
2021-06-25,"Tausende feiern bei illegalen Raves und Massenpartys "
2021-06-23,"Was wollen die Bürger sich zumuten?"
2021-06-22,"Wie Hamburg zur Synagoge am Bornplatz kam – und sie dann zerstörte"
2021-06-21,"Und wir brauchen sie doch noch"
2021-06-20,"Noch mehr Autos in deutschen Großstädten"
2021-06-16,"""Ich kann mir nichts Schöneres als meinen Job vorstellen"""
2021-06-05,"Das Blaue vom Himmel"
2021-06-05,"""Für eine lebendige Innenstadt brauchen wir auch Autos"""
2021-05-29,"""Es wird immer teurer, sich klimaschädlich zu verhalten"""
2021-05-22,"Söder gegen Koalition mit grüner Kanzlerin"
2021-05-20,"Genug gezögert"
2021-05-13,"""Wir müssen auch unser Verhalten ändern"""
2021-05-13,"""Wir werden die Notwendigkeit privater Treffen hinterfragen"""
2021-05-02,"Ist hier schon Holland?"
2021-04-29,"Eure Party ist unser Schmerz"
2021-04-23,"Ein neuer CO2-Preis reicht nicht aus"
2021-04-19,"Meine Radikalisierung"
2021-04-12,"Werdet erwachsen, zeigt Schwäche! "
2021-03-28,"""Für uns Lehrer bedeutet Corona doppelte Arbeit"""
2021-03-14,"Tausche Platz für Autos gegen Platz für Menschen"
2021-03-11,"Pandemie versus Politik"
2021-03-09,"""Der politische Stil hat sich verändert"""
2021-03-07,"""Ich habe 350.000 Euro in Aktien und Edelmetalle investiert"""
2021-03-03,"Koalitionsfraktionen einig über Reform des Fahrdienstmarktes"
2021-02-26,"Sie wollen jetzt endlich spielen"
2021-02-14,"Stellt euch vor, was wir erreichen könnten"
2021-02-08,"""Es passieren so viele Unfälle wegen überhöhter Geschwindigkeit"""
2021-01-28,"Justiz auf Linie"
2021-01-20,"""Eine ganze Schülergeneration wird lebenslang Nachteile erfahren"""
2021-01-19,"So soll Deutschland der Mutante trotzen"
2021-01-15,"Geht da noch was?"
2021-01-15,"Kanzlerin will Lockdown-Beratungen mit Ministerpräsidenten vorziehen"
2021-01-12,"Bayern führt FFP2-Maskenpflicht in Geschäften und ÖPNV ein"
2020-12-19,"Paketpost soll per Straßenbahn kommen"
