"dates","title","ressort"
2022-05-09,"







","Mobilität"
2022-05-09,"Wrackt diese Prämie ab","Mobilität"
2022-05-06,"SPD kritisiert Wissings Pläne für Elektroautoprämie","Politik"
2022-05-05,"Geht Deutschland auf die Barrikaden?","Mobilität"
2022-04-27,"Mehrheit der Deutschen will Neun-Euro-Ticket nutzen","Wirtschaft"
2022-04-27,"Das bringt das Energie-Entlastungspaket","Politik"
2022-04-27,"ADAC ruft zum Fahrradfahren auf","Wirtschaft"
2022-04-27,"Gauck nennt Lawrow-Aussagen zu drittem Weltkrieg »Einschüchterungsversuch«","Ausland"
2022-04-26,"Neun-Euro-Ticket sorgt weiter für Streit","Wirtschaft"
2022-04-24,"Wie geht es weiter mit dem Neun-Euro-Ticket?","Politik"
2022-04-16,"Wird das Neun-Euro-Ticket der Verkehrswende womöglich schaden?","Wissenschaft"
2022-04-13,"Wie das neue Neun-Euro-Ticket funktionieren soll","Mobilität"
2022-04-08,"Unternehmen des ÖPNV fordern 1,5 Milliarden Euro vom Bund","Wirtschaft"
2022-04-08,"Warum Bus und Bahn für Familien oft keine Alternative sind","Mobilität"
2022-04-07,"Zahl der Passagiere in Bussen und Bahnen sinkt auf Tiefstand","Mobilität"
2022-04-06,"Semesterticket für 2,07 Euro ist ungültig","Panorama"
2022-04-05,"»Rabatt« auf Semestertickets in Nürnberg wegen Automatenfehlers","Panorama"
2022-04-01,"Warum das Neun-Euro-Monatsticket auf sich warten lässt","Mobilität"
2022-03-28,"Hoffnungsträger Elektroauto – wie es nützt und wie es schadet","Mobilität"
2022-03-25,"220.000 Menschen demonstrieren in Deutschland für den Klimaschutz","Panorama"
2022-03-25,"Verkehrsminister empfehlen Nulltarif statt Neun-Euro-Ticket","Mobilität"
2022-03-25,"Wie geht noch mal verzichten?","Politik"
2022-03-24,"Rabattschlacht gegen Putin","Wirtschaft"
2022-03-24,"Ökonomen loben Energiepauschale, harsche Kritik an Benzinpreissenkung","Wirtschaft"
2022-03-18,"Was hilft gegen hohe Spritpreise?","Wirtschaft"
2022-03-16,"Die bessere Spritpreisbremse","Mobilität"
2022-03-15,"»Ein Tankrabatt ist eine der absurdesten Ideen aus den letzten 20 Jahren«","Wissenschaft"
2022-03-14,"Wie stehen die Chancen für ein Treffen von Putin und Selenskyj?","Politik"
2022-03-14,"SPD-Linke will Schuldenbremse auch 2023 aussetzen","Politik"
2022-03-06,"Vom Scholzomat zum Scholzdertat?","Politik"
2022-03-05,"Attacke aufs Auto","Mobilität"
2022-02-26,"»Wir müssen so schnell wie möglich weg vom Öl«","Mobilität"
2022-02-17,"Warum die Avantgarde Bus und Bahn fährt","Mobilität"
2022-02-17,"Deutschlands gewaltiges Datenproblem","Netzwelt"
2022-02-10,"Warum Annalena Baerbock ein Elektroauto bekommt – und Robert Habeck nicht","Mobilität"
2022-02-09,"Polizei korrigiert Angaben zu Angriff auf 17-Jährige in Berlin","Panorama"
2022-02-08,"Milliarden für den öffentlichen Verkehr werden nicht abgerufen","Wirtschaft"
2022-02-08,"Wer hat Angst vor der autofreien City?","Mobilität"
2022-01-11,"Fahrrad statt Auto – auch auf dem Land möglich","Mobilität"
2022-01-07,"Sachsen will strenge Corona-Regeln lockern","Wissenschaft"
2021-12-30,"SPD-Politiker sieht keinen Spielraum für günstigeren Nahverkehr und 365-Euro-Ticket","Mobilität"
2021-12-27,"Tausende Menschen protestieren gegen Coronabeschränkungen","Wissenschaft"
2021-12-23,"Erste Klasse im Berliner ÖPNV würde Fahrgäste anlocken","Wirtschaft"
2021-12-23,"Mann soll 150 Impftermine gebucht haben – System lahmgelegt","Wissenschaft"
2021-12-21,"Franziska Giffey zur Bürgermeisterin in Berlin gewählt","Politik"
2021-12-15,"Seilbahnen sollen Lücken im Nahverkehr schließen","Mobilität"
2021-12-14,"Sollen sie doch Flugtaxi fliegen, mir egal","Kultur"
2021-12-13,"Berliner Verkehrsbetriebe verkaufen essbares Hanfticket","Mobilität"
2021-12-11,"Der Autoboss und seine Ampel","Mobilität"
2021-12-08,"»Jetzt hab ich es eilig und werde kontrolliert«","Panorama"
