"dates","title","ressort"
2022-05-12,"»Letztendlich opfere ich auch meine eigene Jugend für diesen Job«","Politik"
2022-05-11,"Warten auf die Klimawende","Wissenschaft"
2022-05-11,"Was jetzt richtig ins Geld geht – und wo Sie sogar sparen","Wirtschaft"
2022-05-11,"Wie Siegfred Delzer sich unabhängig vom Stromnetz machte","Panorama"
2022-05-10,"Wahlkampf am Fensterplatz","Politik"
2022-05-09,"Das sind die Alternativen zu Elektroprämien","Mobilität"
2022-05-07,"Wasserstoff oder Akku – was treibt den Diesel von der Schiene?","Mobilität"
2022-05-06,"Geht Deutschland auf die Barrikaden?","Politik"
2022-05-05,"Mehrheit der Deutschen will Neun-Euro-Ticket nutzen","Mobilität"
2022-05-05,"Verkehrsminister streiten über Finanzierung des Neun-Euro-Tickets","Wirtschaft"
2022-05-01,"Diese Coronaregeln gelten jetzt","Gesundheit"
2022-04-29,"»Schon vor der Invasion gab es hier eine fünfte Kolonne Moskaus«","Ausland"
2022-04-28,"Madrid lässt wegen hoher Strompreise weniger Bahnen fahren","Wirtschaft"
2022-04-28,"Inflationsrate steigt im April auf 7,4 Prozent","Wirtschaft"
2022-04-27,"Wann dreht Putin wieder am Gashahn?","Politik"
2022-04-27,"Neun-Euro-Ticket könnte im Chaos enden","Mobilität"
2022-04-27,"Das bringt das Energie-Entlastungspaket","Wirtschaft"
2022-04-27,"Ego statt Öko","Mobilität"
2022-04-26,"Letzte strengere Schutzregeln enden","Politik"
2022-04-26,"Neun-Euro-Ticket sorgt weiter für Streit","Wirtschaft"
2022-04-25,"Lindner plant fast 40 Milliarden Euro zusätzliche Schulden","Wirtschaft"
2022-04-24,"Wie geht es weiter mit dem Neun-Euro-Ticket?","Politik"
2022-04-24,"Was man für ein Studium in Deutschland wissen muss","Start"
2022-04-21,"US-Regierung geht gegen Ende der Maskenpflicht in Verkehrsmitteln vor","Ausland"
2022-04-19,"Söders Ehefrau droht Vorladung als Zeugin","Politik"
2022-04-19,"Das Covid-Rätsel – milder Verlauf, aber wochenlang Symptome","Wissenschaft"
2022-04-18,"Was wurde eigentlich aus »Scotland Yard«?","Tests"
2022-04-16,"Einsamer Twitter-Ersatz für Behörden","Netzwelt"
2022-04-16,"Wird das Neun-Euro-Ticket der Verkehrswende womöglich schaden?","Wissenschaft"
2022-04-15,"Bund trickst bei Bahninvestitionen","Wirtschaft"
2022-04-15,"Finanzminister Lindner lehnt Tempolimit strikt ab","Wirtschaft"
2022-04-14,"Mutmaßlicher New Yorker U-Bahn-Attentäter bleibt vorerst in Haft","Ausland"
2022-04-13,"Wie das neue Neun-Euro-Ticket funktionieren soll","Mobilität"
2022-04-13,"Fahrgastverband sieht Neun-Euro-Ticket kritisch","Wirtschaft"
2022-04-11,"Spritsteuern sollen zwischen Juni und August gesenkt werden","Wirtschaft"
2022-04-09,"Es wird heiß auf dem Gleis","Wissenschaft"
2022-04-08,"Haben Sie Ihren Notfallrucksack schon gepackt?","Politik"
2022-04-08,"Diese Coronaregeln gelten für Ihr Oster-Urlaubsziel","Reise"
2022-04-08,"Warum Bus und Bahn für Familien oft keine Alternative sind","Mobilität"
2022-04-07,"»Niemand wird vermeiden können, sich anzustecken«","Gesundheit"
2022-04-05,"»Rabatt« auf Semestertickets in Nürnberg wegen Automatenfehlers","Panorama"
2022-04-04,"Provinzkaiser Gatterer und der Lobbysumpf in Südtirol","Ausland"
2022-04-01,"Warum das Neun-Euro-Monatsticket auf sich warten lässt","Mobilität"
2022-03-31,"US-Regierung warnt vor Luftangriffen auf Kiew","Ausland"
2022-03-30,"»In der Politik herrscht Verantwortungspingpong«","Politik"
2022-03-30,"Sieben-Tage-Inzidenz sinkt auf 1663","Wissenschaft"
2022-03-29,"Vorerst letzter NDR-Podcast mit Drosten und Ciesek","Wissenschaft"
2022-03-27,"Shanghai geht in den Lockdown","Ausland"
2022-03-26,"Wem bleibt wie viel von der Energiepauschale?","Wirtschaft"
2022-03-25,"Verkehrsminister empfehlen Nulltarif statt Neun-Euro-Ticket","Mobilität"
2022-03-24,"Ruppige Nachtstunden","Politik"
